"PIB17";"Genero";"TiempoSesion";"Quincena";"Disp";"DominioCorreo";"DiasConv"
46055;"M";102.566999975;6;"Windows";"gmail";253
54730;"M";65.496583322;14;"iOS";"aol";8
42085;"M";0.65;11;"iOS";"privado";196
48376;"F";0.620333333;2;"iOS";"privado";0
42276;"M";13.337166664;4;"Windows";"hotmail";1
59983;"M";8.616249999;2;"Windows";"yahoo";0
48377;"M";93.050833313;1;"iOS";"privado";0
58217;"F";7.787083332;4;"iOS";"gmail";1
54725;"F";87.063333314;24;"iOS";"privado";0
50666;"M";15.725166664;14;"iOS";"hotmail";0
60684;"F";68.577583322;20;"iOS";"yahoo";43
71252;"F";16.28;12;"iOS";"gmail";0
46055;"F";9.22858333;3;"iOS";"yahoo";0
65160;"M";64.21699999;24;"Windows";"verizon";2
71252;"F";22.770833323;16;"iOS";"gmail";1
54730;"M";24.792249989;7;"Windows";"gmail";0
71252;"M";2.544749999;10;"iOS";"privado";24
42085;"F";2.027666666;7;"iOS";"msn";24
71252;"M";6.13333333;20;"iOS";"hotmail";1
66592;"F";83.826166651;4;"iOS";"gmail";8
42085;"F";10.09266666;14;"iOS";"gmail";18
71252;"F";9.058333332;4;"iOS";"yahoo";0
64937;"M";15.083333333;3;"iOS";"privado";1
65160;"F";84.584583315;14;"Windows";"gmail";6
65160;"M";27.802833332;24;"iOS";"privado";68
54730;"M";10.103916666;20;"Windows";"aol";24
57077;"F";7.399999998;24;"iOS";"privado";20
65160;"F";16.934416664;12;"iOS";"yahoo";7
58217;"M";2.2;6;"Android";"comcast";156
46055;"F";1.354166666;22;"Android";"gmail";8
66592;"F";3.023833332;20;"iOS";"gmail";43
42085;"F";1.0055;6;"Windows";"gmail";0
45076;"M";9.624749997;2;"iOS";"privado";3
65160;"F";4.912499998;1;"iOS";"privado";0
57654;"F";0.326166666;6;"iOS";"gmail";103
66592;"F";42.094333328;8;"iOS";"gmail";0
71252;"F";10.473499995;7;"Windows";"privado";0
71252;"F";67.545833307;20;"Windows";"privado";6
50138;"M";10.941666664;4;"Windows";"privado";36
42085;"M";5.341666666;3;"Windows";"gmail";0
71252;"F";6.466583332;12;"iOS";"msn";65
57654;"F";10.488499998;2;"Windows";"yahoo";21
58217;"M";12.499999997;14;"Windows";"gmail";196
